"X"
118.7
118
116
122.1
121
118.5
120
123
121.9
119
119
121
120
118.5
125.3
121
118.5
122.5
117
121.5
121.5
122.3
124.5
120
121.5
120
120.8
120
119.5
118.2
121.5
123.3
120.5
118
123
124.7
120.5
119.5
122
121.8
120.5
127
118.5
123.5
119
127
123
122
124.5
121.2
116.5
121.2
121.2
121
119.5
122.3
124.5
121.5
122.5
120.4
127
122
121
126
121
116
121
120.9
120.2
123.3
119
119.5
122.5
123
122.9
122
120
125.6
